component,variant,num_warmup,num_repeats,mean_ms,median_ms,std_ms,min_ms,max_ms,device,dtype,wall_time_source,skipped_with_reason,notes
plain_synthetic_linear,X W,2,5,0.0017500000467407517,0.0016670001059537753,0.00020221028231866072,0.0015830000847927295,0.002042000232904684,cpu,float64,measured_local_emulation,,Synthetic baseline; no obfuscation.
plain_lora_forward,plain_rank_r,2,5,0.008091800009424333,0.00850000014906982,0.0010792697773214094,0.006625000423809979,0.00933399951463798,cpu,float64,measured_local_emulation,,Plain rank-r LoRA forward; no masking.
masked_lora_forward,fresh_masks_fresh_u_with_pad,2,5,0.2661831998921116,0.24912499975471292,0.027567784878164227,0.24391599981754553,0.3059999999095453,cpu,float64,measured_local_emulation,,Stage 7.0 run_masked_lora_linear forward.
masked_lora_backward,fresh_masks_fresh_u_with_pad,2,5,0.11529980001796503,0.11645799986581551,0.004716875755695537,0.10791599925141782,0.12087499999324791,cpu,float64,measured_local_emulation,,Stage 7.1 run_masked_lora_backward.
rank_padded_lora_forward,paired_cancellation_dummy,2,5,0.2883584000301198,0.2778750003926689,0.021098030677090315,0.27266699999017874,0.32204200033447705,cpu,float64,measured_local_emulation,,Stage 7.2 rank-padded masked forward.
multi_layer_lora_training_step,synthetic_tile,2,5,4.566008199799398,4.554750000352215,0.06655873262763815,4.474790999665856,4.658291999476205,cpu,float64,measured_local_emulation,,Stage 7.3 run_multilayer_lora_training (one training step).
modern_decoder_model_wrapper,opt_in_only,2,5,,,,,,cpu,float64,measured_local_emulation,modern_decoder_wrapper is opt-in (include_modern_decoder_wrapper=False),Opt-in benchmark; pytest defaults stay synthetic.
