step,loss_protected,loss_plaintext,loss_abs_diff,protected_finite
0,2.058157444000244,2.0581793785095215,2.193450927734375e-05,True
1,2.020808219909668,2.0138275623321533,0.0069806575775146484,True
2,1.9663889408111572,1.9592108726501465,0.007178068161010742,True
3,1.9432505369186401,1.9254872798919678,0.017763257026672363,True
4,1.8834527730941772,1.8952480554580688,0.011795282363891602,True
5,1.8371204137802124,1.8453289270401,0.008208513259887695,True
6,1.8137069940567017,1.8101798295974731,0.0035271644592285156,True
7,1.7732948064804077,1.7861547470092773,0.012859940528869629,True
8,1.747631311416626,1.7408045530319214,0.00682675838470459,True
9,1.7166249752044678,1.722564697265625,0.0059397220611572266,True
