step,loss_protected,loss_plaintext,loss_abs_diff,protected_finite
0,2.058157444000244,2.0581793785095215,2.193450927734375e-05,True
1,2.020808219909668,2.0138275623321533,0.0069806575775146484,True
2,1.9663889408111572,1.9592108726501465,0.007178068161010742,True
3,1.9432505369186401,1.9254872798919678,0.017763257026672363,True
4,1.8834527730941772,1.8952480554580688,0.011795282363891602,True
5,1.8371204137802124,1.8453289270401,0.008208513259887695,True
6,1.8137069940567017,1.8101798295974731,0.0035271644592285156,True
7,1.7732948064804077,1.7861547470092773,0.012859940528869629,True
8,1.747631311416626,1.7408045530319214,0.00682675838470459,True
9,1.7166249752044678,1.722564697265625,0.0059397220611572266,True
10,1.6923880577087402,1.69074285030365,0.001645207405090332,True
11,1.6711353063583374,1.6542026996612549,0.01693260669708252,True
12,1.632979393005371,1.6342045068740845,0.001225113868713379,True
13,1.6179254055023193,1.615038275718689,0.002887129783630371,True
14,1.5884625911712646,1.5937031507492065,0.0052405595779418945,True
15,1.5761977434158325,1.5685750246047974,0.007622718811035156,True
16,1.5463526248931885,1.5564266443252563,0.010074019432067871,True
17,1.5238440036773682,1.5361922979354858,0.012348294258117676,True
18,1.4954956769943237,1.4963030815124512,0.0008074045181274414,True
19,1.4830656051635742,1.4814913272857666,0.0015742778778076172,True
20,1.4652739763259888,1.454171895980835,0.011102080345153809,True
21,1.439881443977356,1.4576849937438965,0.017803549766540527,True
22,1.4211912155151367,1.4227824211120605,0.0015912055969238281,True
23,1.4170315265655518,1.4247671365737915,0.007735610008239746,True
24,1.3959866762161255,1.4059324264526367,0.00994575023651123,True
25,1.3862528800964355,1.3856514692306519,0.0006014108657836914,True
26,1.367978572845459,1.370736002922058,0.002757430076599121,True
27,1.3410530090332031,1.3509750366210938,0.009922027587890625,True
28,1.340545654296875,1.3233909606933594,0.017154693603515625,True
29,1.2997976541519165,1.3011878728866577,0.001390218734741211,True
30,1.292372226715088,1.2892942428588867,0.003077983856201172,True
31,1.2746381759643555,1.2783992290496826,0.0037610530853271484,True
32,1.2513941526412964,1.2526195049285889,0.0012253522872924805,True
33,1.238387107849121,1.239851474761963,0.0014643669128417969,True
34,1.2078722715377808,1.2273284196853638,0.019456148147583008,True
35,1.2009692192077637,1.2005535364151,0.0004156827926635742,True
36,1.1679317951202393,1.1760859489440918,0.008154153823852539,True
37,1.1518793106079102,1.1535145044326782,0.0016351938247680664,True
38,1.1255029439926147,1.133878469467163,0.00837552547454834,True
39,1.1060941219329834,1.110040545463562,0.003946423530578613,True
40,1.0836824178695679,1.0822904109954834,0.0013920068740844727,True
41,1.0445572137832642,1.05092453956604,0.006367325782775879,True
42,1.0133696794509888,1.0169553756713867,0.0035856962203979492,True
43,1.003740668296814,0.9950509667396545,0.008689701557159424,True
44,0.9695041179656982,0.9695350527763367,3.0934810638427734e-05,True
45,0.956723690032959,0.9546259045600891,0.002097785472869873,True
46,0.9365445375442505,0.941463053226471,0.004918515682220459,True
47,0.9118831157684326,0.9231909513473511,0.011307835578918457,True
48,0.8932108879089355,0.8991622924804688,0.005951404571533203,True
49,0.8685643076896667,0.877095103263855,0.008530795574188232,True
