check,error,passed,kind
lora_fold_gradB[v_proj],3.0357660829594124e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.1102230246251565e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],8.023096076392733e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],9.71445146547012e-16,True,real_activation_fp64
lora_fold_gradB[gate_proj],3.903127820947816e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],9.020562075079397e-17,True,real_activation_fp64
lora_fold_forward[up_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],1.0061396160665481e-16,True,real_activation_fp64
lora_fold_gradB[up_proj],4.7704895589362195e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[down_proj],2.220446049250313e-15,True,real_activation_fp64
lora_fold_gradA[down_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradB[down_proj],2.1649348980190553e-15,True,real_activation_fp64
lora_fold_sgd[down_proj],1.249000902703301e-16,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,8.881784197001252e-16,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,45.24587265037479,True,real_activation_neg
swiglu_dense_orth_NEG,3.7045468671390704,True,real_activation_neg
rope_paired_qk_score_preserve,9.281464485866309e-14,True,real_activation_fp64
rope_dense_commute_NEG,9.13370962418621,True,real_activation_neg
lora_fold_forward[q_proj],2.6645352591003757e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],2.0816681711721685e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],6.938893903907228e-18,True,real_activation_fp64
lora_fold_sgd[q_proj],5.551115123125783e-17,True,real_activation_fp64
