case,optimizer,mask,steps,aligned,worst_A_err,worst_B_err,worst_dW_err,worst_next_logit_err,worst_loss_diff
sgd_orthogonal,sgd,orthogonal,100,True,2.0308581703992265e-11,1.597508883955865e-11,3.6436326196767376e-11,2.096302317576701e-11,2.9934511730730046e-12
sgd_permutation,sgd,permutation,50,True,1.2252377089168207e-14,1.2381651063953207e-14,1.644503861987152e-14,3.465701222760835e-14,3.5278728281338917e-15
momentum_orthogonal,momentum_sgd,orthogonal,100,True,6.510426137609082e-13,6.78861787988768e-13,9.963412757428869e-13,1.203344671977633e-12,1.4088435837075053e-13
momentum_permutation,momentum_sgd,permutation,50,True,1.560022136809149e-15,1.3018009797143292e-15,2.0903462073003504e-15,2.01060228717904e-15,1.0197877751099628e-15
nesterov_orthogonal,momentum_sgd,orthogonal,50,True,1.1532349847348311e-14,1.4093275110604735e-14,2.2533489997014666e-14,1.6828632423297318e-14,1.7345753430024016e-15
wd_coupled,sgd,orthogonal,50,True,3.112076836917028e-14,3.030723322812182e-14,7.137098359325426e-14,1.0098580638670084e-13,1.1759516316460967e-14
wd_decoupled,sgd,orthogonal,50,True,4.692152924043799e-14,4.64376022942861e-14,6.288726290198064e-14,8.485713802853718e-14,1.484213398280424e-14
accum2,sgd,orthogonal,30,True,6.290114246390602e-14,6.909387889037755e-14,8.056511785425273e-14,1.174084335636454e-13,2.4316765966472158e-14
accum4,momentum_sgd,orthogonal,30,True,7.093687959731182e-14,6.681633349942996e-14,9.453304907875469e-14,7.29135683400501e-14,4.934675814619437e-15
