metric,seeds,examples_per_seed,mean_delta_across_seeds,seed_std,hierarchical_bootstrap_ci95_low,hierarchical_bootstrap_ci95_high,seed_7_delta,seed_1234_delta,seed_2025_delta
BLEU,3,500,-0.4135035881521108,1.0113248714415328,-1.6046833157067553,0.633588903377675,-0.11273968096486954,0.41332160092993026,-1.5410926844213932
chrF,3,500,-1.2452189152714845,0.8650693724946332,-2.147507349147633,-0.35867902431435833,-0.4210551588238847,-2.1460856092853153,-1.1685159777052536
ROUGE_L,3,500,-0.31520049328594807,0.7929596364216219,-1.2084882478863666,0.6003924133164528,-0.49761012427106105,0.5530693322841546,-1.0010606878709378
length,3,500,-1.4553333333333331,1.3382755072604944,-2.86735,-0.3373333333333333,-1.118,-2.93,-0.318
repetition_pct,3,500,0.01566666666666668,0.7629039869690899,-0.6642733333333334,0.7970949999999976,-0.10839999999999993,-0.6776,0.833
invalid_pct,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
