step,tdx_ce_sec,ferry_net_sec,logits_bytes,grad_bytes
0,0.06556534767150879,46.691888093948364,25526860,25526867
1,0.06595921516418457,47.6735999584198,25526860,25526867
2,0.06431698799133301,47.57392716407776,25526860,25526867
3,0.06535220146179199,46.78032684326172,25526860,25526867
4,0.06678557395935059,48.35619902610779,25526860,25526867
5,0.06350255012512207,47.487006187438965,25526860,25526867
6,0.06610608100891113,47.499313831329346,25526860,25526867
7,0.06962776184082031,51.14860200881958,25526860,25526867
8,0.06549358367919922,46.935774087905884,25526860,25526867
9,0.07274603843688965,49.833487033843994,25526860,25526867
