proj,layer,seed,optimizer,step,loss_plaintext,loss_O1A,loss_O1C,loss_absdiff_O1A,loss_absdiff_O1C,gradA_relation_err,O1A_A_update_relerr,O1A_B_update_relerr,O1C_A_update_relerr,O1C_B_update_relerr,O1A_dW_relerr,O1A_dW_cos,O1C_dW_relerr,O1C_dW_cos,O1A_optstate_relerr,O1C_optstate_relerr,T_in_orthogonal,T_out_orthogonal,A_gpu_adamw_safe,B_gpu_adamw_safe,O1C_A_in_tdx,O1C_B_in_tdx,nan_inf
q_proj,0,1234,adamw,1,5.401263537542576,5.401263537542576,5.401263537542576,0.0,0.0,1.7011374070955545e-15,0.4971338093224636,0.02834504780716135,1.924686922831569e-17,3.137480561668234e-17,0.5925052409254777,0.862189340612237,4.560802179412022e-17,1.0000000000000249,279.76025421831247,3.29864339749727e-17,False,True,False,False,True,True,False
q_proj,0,1234,adamw,10,4.971805688395117,5.011645415820295,4.971805688395118,0.039839727425178495,8.881784197001252e-16,1.628849149874419,0.5030979484174306,0.2697731767649376,9.025288522417625e-16,9.47037324412745e-16,0.5201994997116988,0.8619970964457576,1.3367912434747843e-15,1.000000000000004,122.58914499786829,9.260179077309183e-16,False,True,False,False,True,True,False
q_proj,0,1234,adamw,50,0.8224131694132869,0.6425919295652187,0.822413169413287,0.1798212398480682,1.1102230246251565e-16,3.2146746405536066,0.9197594885269483,0.7127115938563273,1.975490441228666e-15,2.430285541383804e-15,0.8204554245725533,0.5730102944644426,2.6773241886066736e-15,1.000000000000009,13.765253179649534,2.2136101821526236e-15,False,True,False,False,True,True,False
q_proj,1,1234,adamw,1,1.7934435942295566,1.7934435942295566,1.7934435942295566,0.0,0.0,1.466452090288868e-15,0.03060083322308416,0.0289255755499927,1.8634660200029809e-16,1.0033637985716558e-15,0.04141081982016429,0.9991426322483314,1.0540865951607911e-15,0.9999999999999803,2.6052185959351943,2.011959196011058e-16,False,True,False,False,True,True,False
q_proj,1,1234,adamw,10,1.571961169756928,1.524040432959507,1.571961169756928,0.04792073679742104,0.0,2.2251457522657696,0.1853405399064252,0.18175258198230285,6.705597273267423e-16,1.2513822268307563e-15,0.25317268099268747,0.9679336931449971,1.4356185415827767e-15,1.000000000000011,1.145445576809552,6.8761353809691e-16,False,True,False,False,True,True,False
q_proj,1,1234,adamw,50,0.0733903428155224,0.057982080339062006,0.07339034281552248,0.015408262476460391,8.326672684688674e-17,3.426667661590611,0.37074568879811864,0.34472370831406857,1.2827316758125858e-15,1.7779983790500825e-15,0.44105238615979087,0.9002948566473885,1.888678729394641e-15,1.000000000000028,1.041464353480095,1.2760854872002552e-15,False,True,False,False,True,True,False
q_proj,2,1234,adamw,1,1.6067698337760865,1.6067698337760865,1.6067698337760865,0.0,0.0,1.551251131274181e-15,0.02065939240906734,0.028661407507713167,4.7693056782878773e-17,2.862272414172161e-16,0.03495591574785799,0.9993888817590575,2.882411239657991e-16,0.9999999999999943,0.851772978637835,6.980898986485862e-17,False,True,False,False,True,True,False
q_proj,2,1234,adamw,10,1.430516893439148,1.4131984619659388,1.4305168934391481,0.017318431473209106,2.220446049250313e-16,0.41731620252724894,0.12770684090041368,0.15499199350569165,6.112537897322268e-16,9.302587986332881e-16,0.19887009885411217,0.9800866034899094,1.1031671508105012e-15,1.0000000000000078,0.7055375245729922,6.188411592798463e-16,False,True,False,False,True,True,False
q_proj,2,1234,adamw,50,0.10672819510383759,0.09956244853021576,0.10672819510383771,0.007165746573621831,1.249000902703301e-16,1.604808702587175,0.31714312199271466,0.2899654971772894,1.9252999199818167e-15,2.0952574201506418e-15,0.3832861694388581,0.9244352115562896,2.380374205058139e-15,1.0000000000000004,1.0270407275038365,1.842990396164813e-15,False,True,False,False,True,True,False
q_proj,3,1234,adamw,1,1.4743138888317637,1.4743138888317635,1.4743138888317635,2.220446049250313e-16,2.220446049250313e-16,1.774645274701508e-15,0.019641130793137337,0.027368925115603886,3.064203129567405e-17,5.335371394338952e-16,0.03423269686083033,0.9994140073772733,5.741030382942482e-16,0.9999999999999942,0.9543294774981299,4.153885015078906e-17,False,True,False,False,True,True,False
q_proj,3,1234,adamw,10,1.3000227222685892,1.2868227998873967,1.3000227222685892,0.013199922381192497,0.0,0.3218777536403751,0.12456991990976087,0.14344276590146823,4.674922392328802e-16,8.079451406498306e-16,0.18875670041836975,0.9820247121678952,9.625091493804684e-16,0.9999999999999917,0.8555421435129579,5.065500618364221e-16,False,True,False,False,True,True,False
q_proj,3,1234,adamw,50,0.051970556269035593,0.050116911551883817,0.051970556269035593,0.001853644717151777,0.0,1.8730875168596939,0.3035141837993801,0.24614098751180075,1.0144354852651679e-15,1.2471641778593821e-15,0.35636242443581617,0.9361477269126682,1.5059144857650614e-15,1.0000000000000018,1.1633830352071124,1.0277834747193561e-15,False,True,False,False,True,True,False
q_proj,4,1234,adamw,1,1.5181219092699745,1.5181219092699745,1.5181219092699745,0.0,0.0,1.7413212537382782e-15,0.022584711145286387,0.02961830018908182,9.095996899135719e-17,6.738482534360004e-16,0.03807010376993979,0.9992755588606963,6.522735506472799e-16,0.9999999999999931,1.5494991586927982,1.4200749659922665e-16,False,True,False,False,True,True,False
q_proj,4,1234,adamw,10,1.3263352155078525,1.3023964637843937,1.3263352155078525,0.02393875172345883,0.0,0.7347247347593953,0.1564217962211708,0.1686093537314923,6.778351268826775e-16,9.834110005044166e-16,0.22806812427056106,0.973663775510869,1.1729919832133338e-15,0.9999999999999892,1.1156071683826927,7.068532242428173e-16,False,True,False,False,True,True,False
q_proj,4,1234,adamw,50,0.06464214539092432,0.05031956205294835,0.06464214539092435,0.014322583337975966,2.7755575615628914e-17,3.2787070366811513,0.39106833164137345,0.275176485914598,1.5819837314616909e-15,1.796640058508256e-15,0.44333759649257654,0.9026251171402799,2.0368368721442257e-15,1.000000000000013,1.0642383800558601,1.5958973476166751e-15,False,True,False,False,True,True,False
q_proj,5,1234,adamw,1,1.4096546913689025,1.4096546913689028,1.4096546913689028,2.220446049250313e-16,2.220446049250313e-16,1.6848716711589355e-15,0.021073585266825963,0.02636881284689027,2.4033259940617464e-17,8.545906261889091e-16,0.03425831097197299,0.9994135224204829,8.532081070258718e-16,0.9999999999999913,1.186525662852142,4.737340379780866e-17,False,True,False,False,True,True,False
q_proj,5,1234,adamw,10,1.2415913511307934,1.2319857552267663,1.2415913511307934,0.009605595904027098,0.0,0.22013396281964823,0.13514199454430337,0.15080975883043263,7.315208462068848e-16,1.0670497546576053e-15,0.20043729001581545,0.9797371198577194,1.2937605913113338e-15,0.9999999999999862,1.0575698638010336,6.80138635152062e-16,False,True,False,False,True,True,False
q_proj,5,1234,adamw,50,0.043907015084538974,0.04234186005488366,0.043907015084538994,0.0015651550296553116,2.0816681711721685e-17,1.7458215922901545,0.3430273586294085,0.24649042050428974,1.4475874925038861e-15,1.6324117078690726e-15,0.39058309267388536,0.9247823824451925,1.9046821484256163e-15,0.9999999999999885,1.166611374062545,1.3888740811131e-15,False,True,False,False,True,True,False
q_proj,6,1234,adamw,1,1.4653954247730738,1.465395424773074,1.465395424773074,2.220446049250313e-16,2.220446049250313e-16,1.3303351567243939e-15,0.01746549113603794,0.02753391110334705,2.130367242224838e-16,1.718727827416683e-15,0.03330436932856667,0.9994452560396705,1.818924216585318e-15,0.9999999999999868,1.1718793046289266,1.9478281971843202e-16,False,True,False,False,True,True,False
q_proj,6,1234,adamw,10,1.2957004620761143,1.282693884341823,1.2957004620761143,0.013006577734291369,0.0,0.33078432280054887,0.11349633183097614,0.1500275518202709,8.764347621695396e-16,1.807840502307713e-15,0.18711157652214397,0.9823469373336535,2.066530168088848e-15,0.9999999999999953,0.9861759585339227,8.832358762684169e-16,False,True,False,False,True,True,False
q_proj,6,1234,adamw,50,0.06004428183285211,0.05709685129750737,0.06004428183285209,0.0029474305353447416,2.0816681711721685e-17,1.8165816242486186,0.295374998547842,0.2549354235524227,1.629013241256724e-15,1.993515998448813e-15,0.3568190189377498,0.9372711477181493,2.2286551265073088e-15,1.000000000000015,0.9991486897946417,1.6689953130350027e-15,False,True,False,False,True,True,False
q_proj,7,1234,adamw,1,1.4883763749941805,1.4883763749941805,1.4883763749941805,0.0,0.0,1.495765809289452e-15,0.0157339399658153,0.02840522313256636,9.439733079670491e-17,8.838686013861623e-16,0.03278343090187472,0.9994624789244717,8.825033671300117e-16,1.000000000000014,0.9025430639248704,2.4955654163677617e-16,False,True,False,False,True,True,False
q_proj,7,1234,adamw,10,1.3146928223831231,1.3124641080536665,1.3146928223831231,0.0022287143294565936,0.0,0.0892592224789698,0.09973171975841176,0.15515576807512843,8.865769660748066e-16,1.1340977528306229e-15,0.18309250244663147,0.9830973562431781,1.4566144306312037e-15,0.999999999999986,0.7861128645513388,8.659953825321511e-16,False,True,False,False,True,True,False
q_proj,7,1234,adamw,50,0.06953178523585071,0.06857462499879004,0.06953178523585078,0.0009571602370606752,6.938893903907228e-17,0.7538685693242195,0.24439328734683635,0.24868530759216495,1.478447951254892e-15,1.63347572571216e-15,0.31478945505749456,0.9500262124163199,2.0059082925230483e-15,1.0000000000000138,1.0809699980842882,1.473986441256701e-15,False,True,False,False,True,True,False
q_proj,8,1234,adamw,1,1.6387558505892228,1.6387558505892228,1.6387558505892228,0.0,0.0,1.7067421944972972e-15,0.023248582010933955,0.02831087894493615,4.1560134643314746e-16,1.3198926357312445e-16,0.03726854929030747,0.9993062299294233,4.3004878571873573e-16,0.9999999999999929,1.7680890063947536,3.215722157187821e-16,False,True,False,False,True,True,False
q_proj,8,1234,adamw,10,1.4252624513797854,1.3963216199462576,1.4252624513797854,0.02894083143352777,0.0,0.7212045603537958,0.16371345719769861,0.16325890748971028,6.59468849200084e-16,7.166978610446417e-16,0.23035864803548933,0.9731133782143311,9.840277138858621e-16,0.9999999999999976,1.2238062346215879,6.140879220080339e-16,False,True,False,False,True,True,False
q_proj,8,1234,adamw,50,0.12776895573897537,0.10395263808737235,0.1277689557389752,0.023816317651603025,1.6653345369377348e-16,2.187048784011561,0.4090001418516322,0.32916034092853935,1.377890375805865e-15,1.7794935668059884e-15,0.4800654656148271,0.8835301437676124,1.922675366878433e-15,0.999999999999993,1.0345484552606055,1.4030704709608289e-15,False,True,False,False,True,True,False
q_proj,9,1234,adamw,1,1.4661093699273882,1.4661093699273882,1.4661093699273882,0.0,0.0,1.717980801337947e-15,0.030748841606891904,0.0275153545963207,1.9231005301003055e-16,2.874352579834823e-17,0.044608677278406964,0.9990048204926851,1.8634582379004635e-16,0.9999999999999978,1.3049352685833246,1.6636487282144725e-16,False,True,False,False,True,True,False
