2026/07/12 09:26:45.827, 0, 0, 0, 479, 50.24, 345, 1593, 5, P0
2026/07/12 09:26:46.041, 0, 0, 0, 479, 50.25, 345, 1593, 5, P0
2026/07/12 09:26:46.242, 0, 0, 0, 479, 50.26, 345, 1593, 5, P0
2026/07/12 09:26:46.500, 0, 0, 0, 479, 50.27, 345, 1593, 5, P0
2026/07/12 09:26:46.700, 0, 0, 0, 479, 50.29, 345, 1593, 5, P0
2026/07/12 09:26:46.900, 0, 0, 0, 479, 50.28, 345, 1593, 5, P0
2026/07/12 09:26:47.100, 0, 0, 0, 479, 50.25, 345, 1593, 5, P0
2026/07/12 09:26:47.300, 0, 0, 0, 479, 50.24, 345, 1593, 5, P0
2026/07/12 09:26:47.501, 0, 0, 0, 479, 50.25, 345, 1593, 5, P0
2026/07/12 09:26:47.701, 0, 0, 4, 479, 50.27, 345, 1593, 5, P0
2026/07/12 09:26:47.901, 0, 0, 4, 479, 50.25, 345, 1593, 5, P0
2026/07/12 09:26:48.102, 0, 0, 18, 479, 50.26, 345, 1593, 5, P0
2026/07/12 09:26:48.302, 0, 0, 719, 479, 55.53, 1755, 1593, 5, P0
2026/07/12 09:26:48.502, 6, 0, 761, 479, 61.92, 1755, 1593, 5, P0
2026/07/12 09:26:48.702, 1, 0, 821, 479, 68.22, 1755, 1593, 5, P0
2026/07/12 09:26:48.903, 1, 0, 883, 479, 75.11, 1755, 1593, 5, P0
2026/07/12 09:26:49.103, 1, 0, 943, 479, 80.96, 1755, 1593, 5, P0
2026/07/12 09:26:49.303, 1, 0, 1003, 479, 82.76, 1755, 1593, 5, P0
2026/07/12 09:26:49.503, 1, 0, 1065, 479, 82.69, 1755, 1593, 5, P0
2026/07/12 09:26:49.703, 1, 0, 1105, 479, 82.79, 1755, 1593, 5, P0
2026/07/12 09:26:49.904, 0, 0, 1167, 479, 82.80, 1755, 1593, 5, P0
2026/07/12 09:26:50.104, 1, 0, 1227, 479, 82.82, 1755, 1593, 5, P0
2026/07/12 09:26:50.304, 1, 0, 1289, 479, 82.81, 1755, 1593, 5, P0
2026/07/12 09:26:50.504, 1, 0, 1349, 479, 82.85, 1755, 1593, 5, P0
2026/07/12 09:26:50.705, 1, 0, 1389, 479, 82.79, 1755, 1593, 5, P0
2026/07/12 09:26:50.905, 1, 0, 1451, 479, 82.80, 1755, 1593, 5, P0
2026/07/12 09:26:51.105, 0, 0, 1451, 479, 82.81, 1755, 1593, 5, P0
2026/07/12 09:26:51.305, 0, 0, 1711, 479, 82.86, 1755, 1593, 5, P0
2026/07/12 09:26:51.505, 6, 0, 1713, 479, 82.91, 1755, 1593, 5, P0
2026/07/12 09:26:51.706, 0, 0, 1715, 479, 82.94, 1755, 1593, 5, P0
2026/07/12 09:26:51.906, 0, 0, 1717, 479, 82.92, 1755, 1593, 5, P0
2026/07/12 09:26:52.106, 0, 0, 1721, 479, 82.94, 1755, 1593, 5, P0
2026/07/12 09:26:52.306, 1, 0, 1935, 479, 82.98, 1755, 1593, 5, P0
2026/07/12 09:26:52.506, 9, 1, 2047, 479, 83.20, 1755, 1593, 5, P0
2026/07/12 09:26:52.707, 0, 0, 2143, 479, 83.24, 1755, 1593, 5, P0
2026/07/12 09:26:52.907, 5, 0, 2143, 479, 84.21, 1755, 1593, 5, P0
2026/07/12 09:26:53.107, 29, 2, 2143, 479, 86.21, 1755, 1593, 5, P0
2026/07/12 09:26:53.307, 32, 2, 2143, 479, 87.99, 1755, 1593, 5, P0
2026/07/12 09:26:53.507, 33, 2, 2143, 479, 89.51, 1755, 1593, 5, P0
2026/07/12 09:26:53.708, 29, 2, 2143, 479, 91.45, 1755, 1593, 5, P0
2026/07/12 09:26:53.908, 31, 2, 2143, 479, 92.21, 1755, 1593, 5, P0
2026/07/12 09:26:54.108, 33, 2, 2143, 479, 91.77, 1755, 1593, 5, P0
2026/07/12 09:26:54.308, 31, 2, 2143, 479, 91.77, 1755, 1593, 5, P0
2026/07/12 09:26:54.508, 31, 2, 2143, 479, 91.76, 1755, 1593, 5, P0
2026/07/12 09:26:54.709, 27, 2, 2143, 479, 91.64, 1755, 1593, 5, P0
2026/07/12 09:26:54.910, 29, 2, 2143, 479, 91.57, 1755, 1593, 5, P0
2026/07/12 09:26:55.110, 30, 2, 2143, 479, 91.54, 1755, 1593, 5, P0
2026/07/12 09:26:55.310, 32, 2, 2143, 479, 91.39, 1755, 1593, 5, P0
2026/07/12 09:26:55.510, 30, 2, 2143, 479, 91.24, 1755, 1593, 5, P0
2026/07/12 09:26:55.710, 32, 2, 2143, 479, 91.30, 1755, 1593, 5, P0
2026/07/12 09:26:55.911, 30, 2, 2143, 479, 91.47, 1755, 1593, 5, P0
2026/07/12 09:26:56.111, 33, 2, 2143, 479, 91.49, 1755, 1593, 5, P0
2026/07/12 09:26:56.311, 31, 2, 2143, 479, 91.89, 1755, 1593, 5, P0
2026/07/12 09:26:56.511, 30, 2, 2143, 479, 91.83, 1755, 1593, 5, P0
2026/07/12 09:26:56.711, 30, 2, 2143, 479, 91.72, 1755, 1593, 5, P0
2026/07/12 09:26:56.912, 28, 2, 2143, 479, 91.67, 1755, 1593, 5, P0
2026/07/12 09:26:57.112, 30, 2, 2143, 479, 91.56, 1755, 1593, 5, P0
2026/07/12 09:26:57.312, 31, 2, 2143, 479, 91.33, 1755, 1593, 5, P0
2026/07/12 09:26:57.513, 33, 2, 2143, 479, 91.49, 1755, 1593, 5, P0
2026/07/12 09:26:57.713, 31, 2, 2143, 479, 91.48, 1755, 1593, 5, P0
2026/07/12 09:26:57.913, 31, 2, 2143, 479, 91.76, 1755, 1593, 5, P0
2026/07/12 09:26:58.113, 33, 2, 2143, 479, 91.76, 1755, 1593, 5, P0
2026/07/12 09:26:58.313, 30, 2, 2143, 479, 92.05, 1755, 1593, 5, P0
2026/07/12 09:26:58.514, 32, 2, 2143, 479, 91.82, 1755, 1593, 5, P0
2026/07/12 09:26:58.714, 30, 2, 2143, 479, 91.93, 1755, 1593, 5, P0
2026/07/12 09:26:58.914, 29, 2, 2143, 479, 91.96, 1755, 1593, 5, P0
