step,proj,gradA_relation_err(gAp==gAt@Tin^-1),O1A_A_update_relerr_vs_plaintextfold,O1A_B_update_relerr_vs_plaintextfold,O1B_A_update_relerr_vs_plaintextfold,O1A_recoveredPlaintextA_err,O1A_dW_relerr_vs_plaintext,O1A_dW_cosine_vs_plaintext,O1B_dW_relerr_vs_plaintext,O1B_dW_cosine_vs_plaintext,loss_plaintext,loss_O1A_masked,loss_match
0,q_proj,1.7661904530491436e-15,0.03599410885873885,1.0580455501938872e-16,9.421403207832686e-17,0.09790213120588062,0.04431127980036195,0.9990188688042556,2.0657482534295466e-16,1.0000000000000284,3.976629901349478,3.9766299013494795,1.3322676295501878e-15
1,q_proj,0.9689682517090462,0.08718509388311388,0.00010267301245523842,1.1155312215842028e-16,0.23706097633418624,0.10148210233975508,0.9948794867434569,2.2447972962684636e-16,0.9999999999999901,3.9765392780700535,3.9531092192703468,0.02343005879970672
2,q_proj,2.423298599538226,0.13315713120532474,0.00043782465951711216,1.2884112715465406e-16,0.36206329927879904,0.1423865186382438,0.9899857902155536,2.463132241999608e-16,0.9999999999999876,3.976367401880053,3.941113616962565,0.035253784917487874
3,q_proj,2.4819238538830217,0.16531404661708177,0.001096619853236128,1.4782410909259428e-16,0.44966751696987983,0.16177158860086083,0.987127531109264,2.622797179338016e-16,1.000000000000009,3.9761229551545947,3.9416078049652192,0.034515150189375454
4,q_proj,2.9019728421368294,0.18217349440786834,0.002111770990869747,1.7048456804760025e-16,0.4955487523226857,0.16893415853598207,0.9859909531263678,2.8212900258567167e-16,1.000000000000019,3.975813946185444,3.9439477064751634,0.031866239710280464
0,k_proj,1.6073419721819526e-15,0.09869329561026186,1.0926584956287904e-16,9.752525409671146e-17,0.2677813483677031,0.12343521582602492,0.9924570660547305,2.0716952824958656e-16,0.9999999999999981,5.7798133038639605,5.7798133038639605,0.0
1,k_proj,0.9738745580060644,0.2387058995433489,0.0022990807011695376,1.2110079828221304e-16,0.646918837303814,0.2795945120595188,0.9629632579046765,2.3293221243141117e-16,0.9999999999999998,5.77906146737237,5.603483656324255,0.17557781104811454
2,k_proj,2.3215161810019094,0.3659533119436113,0.009772123072013464,1.4528243954524288e-16,0.9904361714787182,0.38773196514821584,0.9321325630314651,2.4694401952544854e-16,0.9999999999999923,5.777635979671513,5.507385618485993,0.2702503611855196
3,k_proj,2.4991275309963403,0.46165040920373546,0.02450910624837705,1.6863009385464849e-16,1.2482600196209126,0.4419115473931281,0.9143127659642114,2.6978253722676127e-16,1.0000000000000013,5.775609423237338,5.473852285722106,0.3017571375152315
4,k_proj,3.332976384715965,0.5260017081315053,0.047440492208534975,1.6524226107972325e-16,1.421901393966823,0.4762345947708931,0.9023184036604168,2.851327201499669e-16,1.0000000000000009,5.773048460053222,5.416098176250308,0.35695028380291394
