step,proj,gradA_relation_err(gAp==gAt@Tin^-1),O1A_A_update_relerr_vs_plaintextfold,O1A_B_update_relerr_vs_plaintextfold,O1B_A_update_relerr_vs_plaintextfold,O1A_recoveredPlaintextA_err,O1A_dW_relerr_vs_plaintext,O1A_dW_cosine_vs_plaintext,O1B_dW_relerr_vs_plaintext,O1B_dW_cosine_vs_plaintext,loss_plaintext,loss_O1A_masked,loss_match
1,o_proj,1.165751731489305e-15,5.735692610952356e-18,5.300636438533721e-18,5.735692610952356e-18,5.735692610952354e-18,1.1387644747318412e-17,0.9999999999999979,1.1387644747318412e-17,0.9999999999999979,1.2178101063940827,1.2178101063940825,2.220446049250313e-16
2,o_proj,1.170082936526908e-15,7.65742008387665e-18,5.636810818795654e-18,7.65742008387665e-18,7.65742008387665e-18,1.4228700005638065e-17,0.9999999999999869,1.4228700005638065e-17,0.9999999999999869,1.2177649866925961,1.2177649866925961,0.0
3,o_proj,1.1798947094171983e-15,8.11690492240561e-18,7.656073040589163e-18,8.11690492240561e-18,8.116904922405607e-18,1.6990278856528725e-17,1.000000000000011,1.6990278856528725e-17,1.000000000000011,1.21771996146693,1.21771996146693,0.0
4,o_proj,1.1531071139228174e-15,8.432032077328187e-18,7.667353871376301e-18,8.432032077328187e-18,8.432032077328187e-18,1.78908461532293e-17,1.0000000000000058,1.78908461532293e-17,1.0000000000000058,1.2176750304204267,1.2176750304204265,2.220446049250313e-16
5,o_proj,1.1550053562523244e-15,8.535991739492305e-18,8.897773810648718e-18,8.535991739492305e-18,8.535991739492304e-18,1.9141550304365667e-17,1.0000000000000047,1.9141550304365667e-17,1.0000000000000047,1.2176301932573315,1.2176301932573315,0.0
6,o_proj,1.1569248839531453e-15,8.742464875874702e-18,8.902337281837155e-18,8.742464875874702e-18,8.742464875874702e-18,1.9636733766198235e-17,0.9999999999999898,1.9636733766198235e-17,0.9999999999999898,1.2175854496827907,1.2175854496827905,2.220446049250313e-16
7,o_proj,1.1890901296713313e-15,8.95811094924858e-18,9.736602989525732e-18,8.95811094924858e-18,8.958110949248582e-18,2.1051047764042044e-17,1.0000000000000109,2.1051047764042044e-17,1.0000000000000109,1.217540799402846,1.2175407994028462,2.220446049250313e-16
8,o_proj,1.1327865399262794e-15,9.176072095067886e-18,1.0625038957368129e-17,9.176072095067886e-18,9.176072095067888e-18,2.22226143240906e-17,0.99999999999999,2.22226143240906e-17,0.99999999999999,1.2174962421244349,1.2174962421244349,0.0
9,o_proj,1.162842030859891e-15,9.82624640225397e-18,1.0630656843391817e-17,9.82624640225397e-18,9.82624640225397e-18,2.3224392741829513e-17,1.000000000000004,2.3224392741829513e-17,1.000000000000004,1.2174517775553837,1.2174517775553837,0.0
0,gate_proj,2.9579450616586128e-15,7.175551675452938e-05,2.568003626003312e-18,9.340954103891848e-17,7.817944524302754e-05,8.267251385129119e-05,0.9999999965878501,1.6846802928865584e-16,0.9999999999999916,1.475344545665809,1.4753445456658094,4.440892098500626e-16
1,gate_proj,0.001214173310185614,0.00014332218805842263,9.814488901753801e-09,1.1372469437020964e-16,0.0001561519498204363,0.00016506930219925927,0.9999999863968128,1.8231760562787758e-16,1.0000000000000133,1.4753344925326133,1.475323556086527,1.0936446086295959e-05
2,gate_proj,0.0024280598510566477,0.0002147006321347159,2.941584217521545e-08,1.331939053662078e-16,0.0002339181826596493,0.0002471913886493707,0.99999996949439,1.9375906438516084e-16,0.9999999999999631,1.4753244559193341,1.4753026459357528,2.1809983581366765e-05
3,gate_proj,0.003641656239712906,0.0002858914648718763,5.877652880422186e-08,1.463894338196312e-16,0.0003114788101812472,0.0003290397930177234,0.9999999459477397,2.036935957870034e-16,1.000000000000009,1.4753144357913304,1.4752818148326177,3.262095871270354e-05
4,gate_proj,0.004854959107398185,0.0003568952998327029,9.786911090261147e-08,1.604979513650739e-16,0.0003888344963084942,0.0004106155313442799,0.9999999158233195,2.1285440512047306e-16,1.000000000000038,1.4753044321140438,1.475261062398379,4.3369715664764996e-05
5,gate_proj,0.006067965099550304,0.0004277127482631809,1.4666624333370963e-07,1.7194097584737408e-16,0.00046598590247684887,0.0004919196159059125,0.9999998791870839,2.227006258816928e-16,1.0000000000000369,1.4752944448529974,1.4752403882564054,5.4056596592078066e-05
6,gate_proj,0.007280670875853418,0.0004983444191013168,2.0514067333013393e-07,1.8306076089029947e-16,0.0005429336876434325,0.0005729530552296486,0.9999998361044037,2.3174531948232184e-16,1.0000000000000318,1.4752844739737965,1.4752197920321657,6.468194163078422e-05
7,gate_proj,0.008493073110285701,0.0005687909189859349,2.732652401184289e-07,1.9888985232763844e-16,0.0006196785082964666,0.0006537168541056839,0.9999997866401547,2.431499521057008e-16,1.0000000000000178,1.475274519442127,1.475199273353214,7.524608891307238e-05
8,gate_proj,0.009705168491170348,0.0006390528522654476,3.510128745422279e-07,2.0726401308963959e-16,0.0006962210184646751,0.0007342120136003142,0.9999997308587263,2.522008837543809e-16,0.9999999999999745,1.4752645812237564,1.4751788318491792,8.574937457717091e-05
9,gate_proj,0.010916953721222426,0.00070913082100659,4.3835659868784407e-07,2.1599832083671875e-16,0.0007725618697266641,0.0008144395310691334,0.9999996688238646,2.6014626541007473e-16,0.9999999999999925,1.4752546592845333,1.4751584671517497,9.619213278355687e-05
0,up_proj,2.9457154080159893e-15,6.750651369720679e-05,2.657901984829726e-19,9.296927472591997e-17,7.364123967431308e-05,7.304992953632119e-05,0.9999999973380509,1.6954095404083738e-16,1.0000000000000018,1.2905816152060892,1.2905816152060894,2.220446049250313e-16
1,up_proj,0.0010649254770434208,0.00013485609227983507,8.640699231125069e-09,1.1376351057778934e-16,0.00014710973705070102,0.00014588480162478526,0.9999999893833653,1.8240854009970584e-16,0.9999999999999911,1.2905728242905914,1.2905631980898038,9.626200787593575e-06
2,up_proj,0.002129451273078288,0.00020204918943382574,2.590071999504268e-08,1.3357427366915156e-16,0.00022040598634816695,0.00021850536802890837,0.9999999761825816,1.9561640055654491e-16,0.9999999999999516,1.2905640466377906,1.29054484363483,1.9203002960654914e-05
3,up_proj,0.0031935763189535637,0.00026908625720010174,5.175874759986537e-08,1.536336078795807e-16,0.0002935304800053611,0.00029091237769746965,0.9999999577818293,2.0717855333318642e-16,0.9999999999999916,1.2905552822231035,1.2905265515756994,2.8730647404051624e-05
4,up_proj,0.004257299558709557,0.0003359677459811015,8.619353012360106e-08,1.629377687481248e-16,0.0003664837086876507,0.00036310657677463617,0.9999999342269023,2.1580288779080332e-16,0.9999999999999659,1.2905465310219995,1.2905083216482947,3.82093737048006e-05
5,up_proj,0.005320619949552953,0.00040269410454729394,1.2918387817683894e-07,1.743231170140891e-16,0.0004392661612941401,0.0004350887086103482,0.999999905563446,2.2603326529330726e-16,1.0000000000000904,1.2905377930099986,1.2904901535898368,4.7639420161837975e-05
6,up_proj,0.006383536461835034,0.0004692657800436901,1.8070866466191313e-07,1.871585304280853e-16,0.0005118783249646951,0.000506859513770217,0.999999871836358,2.3513564426794606e-16,1.0000000000000382,1.290529068162674,1.290472047138883,5.7021023790904124e-05
7,up_proj,0.007446048079025924,0.0005356832179962943,2.4074682454001733e-07,1.975947477914681e-16,0.0005843206850869096,0.0005784197300459534,0.9999998330906898,2.432853641130647e-16,1.0000000000000153,1.2905203564556507,1.2904540020353152,6.635442033542382e-05
8,up_proj,0.008508153797691851,0.0006019468623185507,3.092773545976608e-07,2.0725332281743073e-16,0.000656593725303057,0.0006497700924652734,0.999999789370781,2.5229524520798687e-16,1.000000000000004,1.290511657864605,1.2904360180203327,7.563984427227943e-05
9,up_proj,0.00956985262746964,0.0006680571553177696,3.8627931320993917e-07,2.1823718473790983e-16,0.000728697927517026,0.000720911333302062,0.9999997407208477,2.613678935364561e-16,1.0000000000000286,1.2905029723652657,1.2904180948364459,8.487752881980448e-05
0,down_proj,2.051736570702225e-15,5.25022739267587e-18,1.03614172437432e-17,5.25022739267587e-18,5.25022739267587e-18,1.8603662046690125e-17,1.0000000000000004,1.8603662046690125e-17,1.0000000000000004,2.702762964587844,2.702762964587844,0.0
1,down_proj,1.825971637670075e-15,7.174716136244174e-18,1.2911898440853982e-17,7.174716136244174e-18,7.17471613624417e-18,2.402717950176439e-17,0.9999999999999588,2.402717950176439e-17,0.9999999999999588,2.702319341131484,2.702319341131484,0.0
2,down_proj,1.981157122743654e-15,8.351679425879937e-18,1.4613685703765343e-17,8.351679425879937e-18,8.351679425879942e-18,2.8081825963415735e-17,1.000000000000047,2.8081825963415735e-17,1.000000000000047,2.7018794359029235,2.7018794359029235,0.0
3,down_proj,2.432104154384472e-15,9.574877934764083e-18,1.7651076999972094e-17,9.574877934764083e-18,9.574877934764078e-18,3.2862541407480775e-17,1.0000000000000209,3.2862541407480775e-17,1.0000000000000209,2.7014432058600555,2.701443205860055,4.440892098500626e-16
4,down_proj,1.9637098140734763e-15,1.0982809770330324e-17,1.945588973643403e-17,1.0982809770330324e-17,1.0982809770330324e-17,3.666490286834796e-17,0.9999999999999643,3.666490286834796e-17,0.9999999999999643,2.7010106084897894,2.70101060848979,4.440892098500626e-16
5,down_proj,1.914524662249476e-15,1.1783283268834501e-17,2.2361734273431875e-17,1.1783283268834501e-17,1.1783283268834506e-17,4.105762947709801e-17,1.0000000000000133,4.105762947709801e-17,1.0000000000000133,2.7005816018005797,2.7005816018005797,0.0
6,down_proj,1.954335211407205e-15,1.2443906269790567e-17,2.3438875185104844e-17,1.2443906269790567e-17,1.2443906269790567e-17,4.3443409562285316e-17,1.0000000000000373,4.3443409562285316e-17,1.0000000000000373,2.700156144315076,2.7001561443150766,4.440892098500626e-16
7,down_proj,2.042381963829031e-15,1.3343356465471268e-17,2.4966944286397994e-17,1.3343356465471268e-17,1.3343356465471275e-17,4.640379078396093e-17,0.9999999999999891,4.640379078396093e-17,0.9999999999999891,2.699734195062893,2.6997341950628924,4.440892098500626e-16
8,down_proj,1.866914440140642e-15,1.4232386866434173e-17,2.5636724198504144e-17,1.4232386866434173e-17,1.4232386866434167e-17,4.8328066154248406e-17,0.9999999999999679,4.8328066154248406e-17,0.9999999999999679,2.699315713573482,2.699315713573482,0.0
9,down_proj,2.043749958574803e-15,1.526112348895679e-17,2.6857478939383417e-17,1.526112348895679e-17,1.526112348895679e-17,5.090288582830233e-17,1.0000000000000306,5.090288582830233e-17,1.0000000000000306,2.6989006598691283,2.6989006598691274,8.881784197001252e-16
