model_id,status,batch_size,seq_len,use_pad,attention_mask_kind,q_max_abs_error,k_max_abs_error,v_max_abs_error,score_max_abs_error,prob_max_abs_error,attn_out_max_abs_error,output_max_abs_error,output_relative_l2_error,output_cosine_similarity,qk_constraint_error,allclose,q_pad,k_pad,v_pad,o_pad
hf-internal-testing/tiny-bert,loaded,1,4,True,all_ones,2.1457672119140625e-06,2.384185791015625e-06,4.0531158447265625e-06,2.2649765014648438e-06,2.682209014892578e-07,1.8533319234848022e-06,4.410743713378906e-06,1.3355263490666403e-06,1.0,4.172325134277344e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,4,True,padding,2.1457672119140625e-06,2.384185791015625e-06,4.0531158447265625e-06,2.2649765014648438e-06,2.682209014892578e-07,1.8533319234848022e-06,5.4836273193359375e-06,1.2968217788511538e-06,1.0,4.172325134277344e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,4,False,all_ones,1.430511474609375e-06,1.9073486328125e-06,2.384185791015625e-06,2.0265579223632812e-06,2.384185791015625e-07,1.430511474609375e-06,3.0994415283203125e-06,9.40386826187023e-07,0.9999999403953552,4.172325134277344e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,1,4,False,padding,1.430511474609375e-06,1.9073486328125e-06,2.384185791015625e-06,2.0265579223632812e-06,2.384185791015625e-07,1.430511474609375e-06,3.0994415283203125e-06,9.40386826187023e-07,0.9999999403953552,4.172325134277344e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,1,8,True,all_ones,2.7418136596679688e-06,2.384185791015625e-06,4.5299530029296875e-06,3.1888484954833984e-06,3.5762786865234375e-07,2.1457672119140625e-06,3.933906555175781e-06,1.335589786322089e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,8,True,padding,2.7418136596679688e-06,2.384185791015625e-06,4.5299530029296875e-06,3.1888484954833984e-06,3.5762786865234375e-07,2.8014183044433594e-06,4.643574357032776e-06,1.3778152379018138e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,8,False,all_ones,1.9073486328125e-06,1.5497207641601562e-06,2.682209014892578e-06,2.3543834686279297e-06,2.980232238769531e-07,1.7881393432617188e-06,2.3096799850463867e-06,8.434548135483055e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,1,8,False,padding,1.9073486328125e-06,1.5497207641601562e-06,2.682209014892578e-06,2.3543834686279297e-06,2.980232238769531e-07,2.682209014892578e-06,3.0994415283203125e-06,9.438449524168391e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,1,16,True,all_ones,2.86102294921875e-06,2.7418136596679688e-06,4.0531158447265625e-06,2.7418136596679688e-06,4.76837158203125e-07,2.384185791015625e-06,3.293156623840332e-06,1.5303073723771377e-06,0.9999999403953552,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,16,True,padding,2.86102294921875e-06,2.7418136596679688e-06,4.0531158447265625e-06,2.7418136596679688e-06,4.76837158203125e-07,2.1457672119140625e-06,4.202127456665039e-06,1.3304511412570719e-06,0.9999997019767761,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,1,16,False,all_ones,2.1457672119140625e-06,2.1457672119140625e-06,3.516674041748047e-06,2.86102294921875e-06,2.384185791015625e-07,2.0265579223632812e-06,2.6226043701171875e-06,9.467297559240251e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,1,16,False,padding,2.1457672119140625e-06,2.1457672119140625e-06,3.516674041748047e-06,2.86102294921875e-06,4.76837158203125e-07,1.7881393432617188e-06,2.5033950805664062e-06,8.684125987201696e-07,0.9999997019767761,3.5762786865234375e-07,True,False,False,False,False
