model_id,batch_size,seq_len,decode_steps,use_pad,full_output_max_err,score_max_err,prob_max_err,v_aggr_max_err,qk_constraint_error,prefill_output_max_err,prefill_cache_key_err,prefill_cache_value_err,decode_output_max_err,decode_cache_key_err,decode_cache_value_err,full_allclose,prefill_cache_allclose,decode_cache_append_allclose
sshleifer/tiny-gpt2,1,4,1,True,4.3655745685100555e-09,2.764863893389702e-10,0.0,1.4901161193847656e-08,0.0,4.511093720793724e-10,3.725290298461914e-09,7.450580596923828e-09,2.0081643015146255e-09,3.725290298461914e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,4,1,False,2.9103830456733704e-11,1.0186340659856796e-10,0.0,7.450580596923828e-09,0.0,1.7462298274040222e-10,1.3969838619232178e-09,1.1175870895385742e-08,1.4551915228366852e-11,1.3969838619232178e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,4,2,True,4.3655745685100555e-09,2.764863893389702e-10,0.0,1.4901161193847656e-08,0.0,4.511093720793724e-10,3.725290298461914e-09,7.450580596923828e-09,3.230525180697441e-09,3.725290298461914e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,4,2,False,2.9103830456733704e-11,1.0186340659856796e-10,0.0,7.450580596923828e-09,0.0,1.7462298274040222e-10,1.3969838619232178e-09,1.1175870895385742e-08,1.4551915228366852e-11,1.3969838619232178e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,4,4,True,4.3655745685100555e-09,2.764863893389702e-10,0.0,1.4901161193847656e-08,0.0,4.511093720793724e-10,3.725290298461914e-09,7.450580596923828e-09,3.230525180697441e-09,3.725290298461914e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,4,4,False,2.9103830456733704e-11,1.0186340659856796e-10,0.0,7.450580596923828e-09,0.0,1.7462298274040222e-10,1.3969838619232178e-09,1.1175870895385742e-08,2.1827872842550278e-11,1.862645149230957e-09,1.862645149230957e-08,True,True,True
sshleifer/tiny-gpt2,1,8,1,True,8.87666828930378e-09,2.0372681319713593e-10,0.0,4.6566128730773926e-09,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,3.4924596548080444e-10,3.259629011154175e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,8,1,False,8.731149137020111e-11,8.731149137020111e-11,0.0,7.450580596923828e-09,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,5.4569682106375694e-11,1.862645149230957e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,8,2,True,8.87666828930378e-09,2.0372681319713593e-10,0.0,4.6566128730773926e-09,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,2.066371962428093e-09,3.259629011154175e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,8,2,False,8.731149137020111e-11,8.731149137020111e-11,0.0,7.450580596923828e-09,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,5.4569682106375694e-11,1.862645149230957e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,8,4,True,8.87666828930378e-09,2.0372681319713593e-10,0.0,4.6566128730773926e-09,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,3.5834091249853373e-09,3.259629011154175e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,1,8,4,False,8.731149137020111e-11,8.731149137020111e-11,0.0,7.450580596923828e-09,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,5.4569682106375694e-11,1.862645149230957e-09,1.862645149230957e-08,True,True,True
sshleifer/tiny-gpt2,1,16,1,True,9.2186382971704e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,9.2186382971704e-09,3.259629011154175e-09,1.1175870895385742e-08,7.530616130679846e-10,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,16,1,False,2.3283064365386963e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,5.820766091346741e-11,1.862645149230957e-09,3.725290298461914e-09,3.637978807091713e-11,1.862645149230957e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,1,16,2,True,9.2186382971704e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,9.2186382971704e-09,3.259629011154175e-09,1.1175870895385742e-08,8.221832104027271e-10,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,1,16,2,False,2.3283064365386963e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,5.820766091346741e-11,1.862645149230957e-09,3.725290298461914e-09,3.637978807091713e-11,1.862645149230957e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,1,16,4,True,9.2186382971704e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,9.2186382971704e-09,3.259629011154175e-09,1.1175870895385742e-08,4.576577339321375e-09,6.51925802230835e-09,3.3527612686157227e-08,True,True,True
