optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
adamw,1,o_down,loss_absdiff_O1C,144,144,0.0,1.3322676295501878e-15,0.0,8.881784197001252e-16,22
adamw,1,qkv,O1A_A_update_relerr,216,216,0.0,0.5040990441022198,0.027831436761659455,0.04145051339908914,0
adamw,1,qkv,O1C_A_update_relerr,216,216,0.0,7.738283375147344e-14,9.480014072755515e-17,7.207191502631467e-15,21
adamw,1,qkv,O1A_B_update_relerr,216,216,0.0,0.031084806588189344,0.027009852728491022,0.03005255606416022,20
adamw,1,qkv,O1C_B_update_relerr,216,216,0.0,6.477800460426744e-14,2.1913202281711104e-17,2.6776096387398635e-15,4
adamw,1,qkv,O1A_dW_cos,216,216,0.0,0.9998607454577662,0.9993056087652694,0.9997806472761654,7
adamw,1,qkv,O1C_dW_cos,216,216,0.0,1.000000000000027,0.9999999999999999,1.000000000000014,21
adamw,1,qkv,O1A_optstate_relerr,216,216,0.0,279.76025421831247,1.1060307144057093,2.889562422108682,0
adamw,1,qkv,O1C_optstate_relerr,216,216,0.0,6.288150048747872e-14,1.1701096451048196e-16,1.2904273410497998e-14,1
adamw,1,qkv,loss_absdiff_O1C,216,216,0.0,2.6645352591003757e-15,0.0,4.440892098500626e-16,0
adamw,1,gate_up,O1A_A_update_relerr,144,144,0.0,0.02996288809924584,0.022505554233957774,0.02787873928273301,23
adamw,1,gate_up,O1C_A_update_relerr,144,144,0.0,7.318800375495737e-14,3.7224697397932195e-16,1.692587283738065e-14,0
adamw,1,gate_up,O1A_B_update_relerr,144,144,0.0,1.4818968612122138e-14,2.884770875905159e-15,8.740799399906942e-15,5
adamw,1,gate_up,O1C_B_update_relerr,144,144,0.0,1.4818968612122138e-14,2.884770875905159e-15,8.740799399906942e-15,5
adamw,1,gate_up,O1A_dW_cos,144,144,0.0,0.9999120356871388,0.9996230545867696,0.9998619885625255,1
adamw,1,gate_up,O1C_dW_cos,144,144,0.0,1.00000000000008,1.0000000000000049,1.000000000000056,0
adamw,1,gate_up,O1A_optstate_relerr,144,144,0.0,3842.2162666257254,1.361773624583536,2246.915155627263,22
adamw,1,gate_up,O1C_optstate_relerr,144,144,0.0,7.961564640773873e-14,4.092520194325795e-16,1.4527107951513257e-14,0
