seed,matched_samples,g1_corpus_chrf,g2_corpus_chrf,corpus_chrf_delta_g2_minus_g1,paired_corpus_chrf_ci95_low,paired_corpus_chrf_ci95_high,bootstrap_corpus_chrf_mean_delta,g1_mean_sentence_chrf,g2_mean_sentence_chrf,mean_sentence_chrf_delta_g2_minus_g1,g1_sha256,g2_sha256,missing_ids,duplicate_ids,reference_mismatches
7,500,72.41341651669777,72.15772619771829,-0.25569031897947525,-1.0387669976270182,0.5354416978789904,-0.25637396466792506,72.63006497945653,72.20900982063263,-0.4210551588239042,0cfef06b7ace081b71303ca05f7709deb6562b521803f5dc9d9cff9b034aeb17,70a93b9d50d4cb67037a04f70e0cf9a608ff93f8a5b64dd095e06cae686c2aec,0,0,0
1234,500,72.78274834641049,70.55866631653622,-2.2240820298742676,-3.0110408118877814,-1.4330365348831666,-2.226465548752459,72.94143440163141,70.7953487923461,-2.146085609285308,ec5a432031dcbfed61152e6a1b8299bfc55704568342e7890b412f49e9b7c76b,d3b5ad9820c13e473ee7a995480a9ea6b5b3f5a786a4ba3276774cf116e46e31,0,0,0
2025,500,72.425076437311,71.2552595816497,-1.1698168556613098,-2.055440597373833,-0.24920022152278964,-1.1712627999195577,72.55476213588123,71.38624615817596,-1.168515977705269,744d1758db59cff389fa618e8682ea412f076be646257ace296e33da392906f2,1c7c7a7a12fc9845a9635b1634e8aa5c4fc3a0aabb1185ccfd566770de89fede,0,0,0
