activation,use_autograd_nonlinear,forward_z_error,forward_z_maxabs,forward_u_error,forward_u_maxabs,forward_y_error,forward_y_maxabs,backward_gu_error,backward_gu_maxabs,backward_gz_error,backward_gz_maxabs,backward_gh_error,backward_gh_maxabs
gelu,True,7.689838106740393e-16,2.7755575615628914e-15,7.383377655716938e-16,2.6645352591003757e-15,5.732135659546999e-16,2.220446049250313e-15,2.831225718106372e-15,5.551115123125783e-15,2.863909503720633e-15,5.995204332975845e-15,1.6045483668708074e-15,5.329070518200751e-15
silu,True,7.689838106740393e-16,2.7755575615628914e-15,7.582071065808795e-16,2.6645352591003757e-15,8.450139129664831e-16,3.1086244689504383e-15,2.831225718106372e-15,5.551115123125783e-15,2.600096588066313e-15,5.551115123125783e-15,1.7114030389036121e-15,5.773159728050814e-15
relu,True,7.689838106740393e-16,2.7755575615628914e-15,7.382244582470777e-16,2.6645352591003757e-15,7.758889568167904e-16,3.1086244689504383e-15,2.831225718106372e-15,5.551115123125783e-15,2.676806311277685e-15,5.218048215738236e-15,1.929732320216588e-15,5.39499001028787e-15
gelu,False,7.689838106740393e-16,2.7755575615628914e-15,7.383377655716938e-16,2.6645352591003757e-15,5.732135659546999e-16,2.220446049250313e-15,2.831225718106372e-15,5.551115123125783e-15,2.863909503720633e-15,5.995204332975845e-15,1.6045483668708074e-15,5.329070518200751e-15
silu,False,7.689838106740393e-16,2.7755575615628914e-15,7.582071065808795e-16,2.6645352591003757e-15,8.450139129664831e-16,3.1086244689504383e-15,2.831225718106372e-15,5.551115123125783e-15,2.600096588066313e-15,5.551115123125783e-15,1.7114030389036121e-15,5.773159728050814e-15
